COUNTYFP,enplanements
01073,1596510.0
01089,804665.0
04013,26574019.0
04019,1959789.0
05007,1123106.0
05119,1145693.0
06001,5292736.0
06019,1318250.0
06037,43175881.0
06059,5370273.0
06065,1617586.0
06067,6679426.0
06071,3494554.0
06073,12780013.0
06081,25078968.0
06083,696396.0
06085,5822019.0
08031,40012895.0
08041,1248261.0
09110,3285194.0
09170,589409.0
12005,918470.0
12011,17096131.0
12015,957136.0
12031,3749791.0
12033,1528204.0
12057,12075591.0
12071,5425293.0
12081,2112417.0
12086,26588002.0
12087,740762.0
12091,1164880.0
12095,27859783.0
12099,4127211.0
12103,1228048.0
12117,1412954.0
13051,2020753.0
13063,52511402.0
16001,2475370.0
17031,48935786.0
18097,5181947.0
19113,759978.0
19153,1555454.0
20173,885585.0
21015,4500414.0
21067,776297.0
21111,2343305.0
22051,6537092.0
23005,1221913.0
24003,13221461.0
25025,21090721.0
26081,2065053.0
26163,16110696.0
27053,18054481.0
28121,616695.0
29077,702338.0
29165,5915078.0
29189,7807362.0
30031,1321790.0
31055,2583212.0
32003,28244966.0
32031,2377780.0
33011,633257.0
34013,24544320.0
35001,2690218.0
36001,1490673.0
36029,2499295.0
36055,1331837.0
36067,1486554.0
36081,48181669.0
36103,682804.0
36119,1182384.0
37021,1096465.0
37081,985563.0
37119,28523822.0
37129,737065.0
37183,7584394.0
38017,552860.0
39035,4950345.0
39049,4387395.0
39113,624995.0
40109,2243575.0
40143,1627181.0
41017,601152.0
41029,503733.0
41039,824952.0
41051,8639088.0
42003,4862376.0
42043,727163.0
42045,15102261.0
44003,1984916.0
45019,3115194.0
45051,1894929.0
45063,654460.0
45083,1412702.0
46099,701353.0
47009,1639080.0
47037,12058688.0
47065,557741.0
47157,2439366.0
48029,5466684.0
48061,603561.0
48113,8654991.0
48141,2071894.0
48201,30466124.0
48215,625670.0
48303,563180.0
48329,761865.0
48439,42351316.0
48453,10678073.0
49035,13543570.0
50007,670636.0
51013,12750892.0
51087,2456422.0
51107,13003234.0
51710,2444897.0
53033,25414592.0
53063,2064142.0
55025,1156399.0
55079,3104054.0
55087,540349.0
56039,518754.0
