,mass
54,56375482.89061966
12,713008666.3139112
17,428829112.7381691
27,158190945.69059289
24,277208918.09162897
44,30370867.836114015
16,53906477.82970618
33,40713394.20040118
37,412738849.2969049
50,14884610.439773554
09,157849847.62042287
10,22162312.040123627
35,102552321.69661468
06,1840067684.9840562
34,293915909.4532528
55,170525830.54805687
41,114797257.48798056
31,51689214.86801043
42,154171734.446702
53,262752052.6279601
22,185252469.1720961
13,556509194.7894146
01,200957925.35405904
49,208920054.55322444
39,457208709.57249874
48,1063776705.9530289
08,197167560.62138927
45,195311676.07204443
40,137799159.3570249
47,325706415.8346653
56,33290807.190919023
38,21185193.900974277
21,208524932.6398186
23,34478325.675325446
36,320448930.6224666
32,94482971.31061782
26,296287902.05879873
05,117117672.14717337
28,107874796.64020735
29,300162866.1132179
30,33500930.157674123
20,87573223.37975721
18,233151800.8094302
46,34854083.11450768
25,238597712.3686686
51,380365055.1449521
11,7433105.302367093
19,86958822.22475293
04,245858588.293102
