,state_fips,Population,median_age,Income,Density_per_mile
0,01,5157699,39.6,65560,101.0
1,04,7582384,39.4,84700,65.0
2,05,3088354,39.1,64840,59.0
3,06,39431263,38.4,100600,250.0
4,08,5957494,38.0,106500,57.0
5,09,3675069,41.2,99240,747.0
6,10,1051917,42.1,85860,529.0
7,11,702250,34.9,104800,11131.0
8,12,23372215,42.7,75630,422.0
9,13,11180878,38.0,81210,192.0
10,16,2001619,37.8,81650,24.0
11,17,12710158,39.4,84210,226.0
12,18,6924275,38.3,76710,192.0
13,19,3241488,39.0,85480,57.0
14,20,2970606,38.0,87690,36.0
15,21,4588372,39.3,64790,115.0
16,22,4597740,38.7,60740,106.0
17,23,1405012,44.9,90730,45.0
18,24,6263220,39.8,109700,637.0
19,25,7136171,40.1,113900,898.0
20,26,10140459,40.4,79460,178.0
21,27,5793151,39.2,92350,72.0
22,28,2943045,39.3,55980,63.0
23,29,6245466,39.4,78390,90.0
24,30,1137233,41.3,81920,7.8
25,31,2005466,37.4,86140,26.0
26,32,3267467,39.5,80590,29.0
27,33,1409032,43.6,111800,157.0
28,34,9500851,40.1,103500,1263.0
29,35,2130256,39.9,64140,17.0
30,36,19867248,40.1,86830,415.0
31,37,11046024,39.4,67220,223.0
32,38,796568,36.7,88080,11.0
33,39,11883304,39.8,80520,288.0
34,40,4095393,37.4,65310,59.0
35,41,4272371,40.8,89700,44.0
36,42,13078751,41.2,80060,290.0
37,44,1112308,41.0,92290,1060.0
38,45,5478831,40.7,76780,179.0
39,46,924669,38.7,79850,12.0
40,47,7227750,39.1,75860,173.0
41,48,31290831,35.9,81490,117.0
42,49,3503613,32.5,104000,42.0
43,50,648493,43.9,85260,70.0
44,51,8811195,39.4,97720,221.0
45,53,7958180,38.7,97500,118.0
46,54,1769979,42.9,63150,74.0
47,55,5960975,40.7,82560,109.0
48,56,587618,40.2,78680,6.0
